comments,duration,event,languages,main_speaker,name,num_speaker,views2,tags,number,lengths,views
310,843,TED2016,40,Tim Urban,Inside the mind of a master procrastinator,1,14745406,,,7,3811316
1155,1144,TED2012,44,Susan Cain,The power of introverts,1,17629275,,,4,3791888
672,1305,TED2006,36,Tony Robbins,Why we do what we do,1,20685401,,,6,3773245
2877,1099,TED2008,49,Jill Bolte Taylor,My stroke of insight,1,21190883,,,4,3769987
354,1003,TED2009,37,Mary Roach,10 things you didn't know about orgasm,1,22270883,,,7,3741423
,,,,,,,,,,4,3729820
,,,,,,,,,,5,3661633
,,,,,,,,,,8,3643938
,,,,,,,,,,3,3519656
,,,,,,,,,,5,3472415
,,,,,,,,,,11,3460338
,,,,,,,,,,6,3450119
,,,,,,,,,,5,3433437
,,,,,,,,,,6,3421371
,,,,,,,,,,6,3399887
,,,,,,,,,,4,3387765
,,,,,,,,,,5,3362099
,,,,,,,,,,5,3351267
,,,,,,,,,,6,3327164
,,,,,,,,,,5,3325490
,,,,,,,,,,4,3303825
,,,,,,,,,,5,3257749
,,,,,,,,,,7,3247638
,,,,,,,,,,4,3243784
,,,,,,,,,,4,3200520
,,,,,,,,,,7,3192405
,,,,,,,,,,10,3183828
,,,,,,,,,,6,3158067
,,,,,,,,,,7,3148366
,,,,,,,,,,5,3133189
,,,,,,,,,,13,3130752
,,,,,,,,,,4,3095993
,,,,,,,,,,5,3095075
,,,,,,,,,,2,3074172
,,,,,,,,,,6,3062980
,,,,,,,,,,4,3061003
,,,,,,,,,,4,3055565
,,,,,,,,,,4,3051507
,,,,,,,,,,7,3005687
,,,,,,,,,,9,2991225
,,,,,,,,,,5,2954577
,,,,,,,,,,5,2950307
,,,,,,,,,,6,2895821
,,,,,,,,,,5,2890269
,,,,,,,,,,5,2863214
,,,,,,,,,,7,2841795
,,,,,,,,,,10,2832581
,,,,,,,,,,7,2824676
,,,,,,,,,,6,2797058
,,,,,,,,,,5,2785058
,,,,,,,,,,4,2783715
,,,,,,,,,,3,2782822
,,,,,,,,,,11,2780484
,,,,,,,,,,6,2735769
,,,,,,,,,,4,2725557
,,,,,,,,,,7,2724208
,,,,,,,,,,9,2715019
,,,,,,,,,,6,2702500
,,,,,,,,,,6,2702470
,,,,,,,,,,8,2679881
,,,,,,,,,,4,2676717
,,,,,,,,,,6,2664733
,,,,,,,,,,4,2634359
,,,,,,,,,,3,2627709
,,,,,,,,,,10,2626483
,,,,,,,,,,6,2618738
,,,,,,,,,,4,2613400
,,,,,,,,,,4,2611707
,,,,,,,,,,4,2598055
,,,,,,,,,,7,2567958
,,,,,,,,,,8,2560359
,,,,,,,,,,5,2558702
,,,,,,,,,,4,2532851
,,,,,,,,,,8,2527133
,,,,,,,,,,5,2526255
,,,,,,,,,,8,2520181
,,,,,,,,,,6,2500023
,,,,,,,,,,7,2498698
,,,,,,,,,,4,2477746
,,,,,,,,,,5,2475423
,,,,,,,,,,7,2471075
,,,,,,,,,,4,2467385
,,,,,,,,,,5,2449740
,,,,,,,,,,6,2442996
,,,,,,,,,,3,2442977
,,,,,,,,,,5,2434344
,,,,,,,,,,5,2428958
,,,,,,,,,,4,2399273
,,,,,,,,,,8,2398373
,,,,,,,,,,4,2373021
,,,,,,,,,,4,2350678
,,,,,,,,,,9,2306549
,,,,,,,,,,11,2305547
,,,,,,,,,,6,2300106
,,,,,,,,,,8,2299265
,,,,,,,,,,4,2293465
,,,,,,,,,,4,2293317
,,,,,,,,,,4,2290464
,,,,,,,,,,4,2283491
,,,,,,,,,,8,2275945
,,,,,,,,,,6,2239259
,,,,,,,,,,7,2233265
,,,,,,,,,,8,2224913
,,,,,,,,,,5,2212944
,,,,,,,,,,8,2206061
,,,,,,,,,,5,2200326
,,,,,,,,,,5,2197377
,,,,,,,,,,3,2192828
,,,,,,,,,,6,2190919
,,,,,,,,,,4,2190746
,,,,,,,,,,7,2178952
,,,,,,,,,,7,2178534
,,,,,,,,,,4,2175141
,,,,,,,,,,7,2173228
,,,,,,,,,,5,2162764
,,,,,,,,,,5,2162439
,,,,,,,,,,6,2161846
,,,,,,,,,,3,2155416
,,,,,,,,,,9,2155099
,,,,,,,,,,7,2138907
,,,,,,,,,,3,2124521
,,,,,,,,,,5,2120292
,,,,,,,,,,5,2108816
,,,,,,,,,,6,2102608
,,,,,,,,,,4,2098639
,,,,,,,,,,3,2067955
,,,,,,,,,,6,2064604
,,,,,,,,,,5,2063367
,,,,,,,,,,5,2062308
,,,,,,,,,,6,2053453
,,,,,,,,,,4,2049904
,,,,,,,,,,6,2049103
,,,,,,,,,,7,2042978
,,,,,,,,,,6,2028451
,,,,,,,,,,4,2028383
,,,,,,,,,,3,2026001
