main_speaker,num_speaker,speaker_occupation
Dean Ornish,1,"Physician, author"
Deb Roy,1,Cognitive scientist
Deborah Gordon,1,Ecologist
Deborah Gordon,1,Ecologist
Deborah Scranton,1,Filmmaker
Del Harvey,1,Security maven
Denis Dutton,1,Philosopher
Denise Herzing,1,Dolphin researcher
Dennis Hong,1,Roboticist 
Derek Sivers,1,Entrepreneur
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",4,Cognitive psychologist
Diane Benscoter,1,Deprogrammer
Don Levy,1,Film executive
Don Norman,1,Cognitive scientist and design critic
Donald Hoffman,1,Cognitive scientist
Donald Sadoway,1,Materials engineer
Dong Woo Jang,1,Bow designer
Doris Kearns Goodwin,1,Historian
Drew Curtis,1,Web entrepreneur
Duarte Geraldino,1,Journalist
E.O. Wilson,1,Biologist
Eames Demetrios,1,Artist
Ed Boyden,1,Neuroengineer
Ed Ulbrich,1,Visual storyteller
Ed Yong,1,Science writer
Eddi Reader,2,Singer/songwriter
Eddi Reader,2,Singer/songwriter
Edith Widder,1,Marine biologist
Edith Widder,1,Marine biologist
Eduardo Paes,1,Mayor of Rio de Janeiro
Edward Burtynsky,1,Photographer
Edward Snowden,1,Whistleblower
Edward Tenner,1,Historian of technology and culture
Einstein the Parrot,1,African grey parrot
eL Seed,1,Artist
Eleanor Longden,1,Research psychologist
Eli Pariser,1,Organizer and author
Elizabeth Gilbert,1,Writer
Elizabeth Gilbert,1,Writer
Elizabeth Pisani,1,Author
Elliot Krane,1,Pediatric anesthesiologist
Elon Musk,1,Serial entrepreneur
Elon Musk,1,Serial entrepreneur
Elora Hardy,1,Sustainable designer
Eman Mohammed,1,Photojournalist
Emily Esfahani Smith,1,Author
Emily Levine,1,Philosopher-comic
Emily Oster,1,Assumption-busting economist
Eric Berlow and Sean Gourley,2,Ecologist
Eric Lewis,1,Pianist
Eric Lewis,1,Pianist
Eric Whitacre,1,"Composer, conductor"
Eric Whitacre,1,"Composer, conductor"
Erik Brynjolfsson,1,Innovation researcher
Erik Hersman,1,Technologist
Erin McKean,1,Dictionary editor
Esther Duflo,1,Development economist
Esther Perel,1,Relationship therapist
Ethel,1,String quartet
Eva Vertes,1,Neuroscience and cancer researcher
Eva Zeisel,1,Designer
Evan Williams,1,Twitter co-founder
Eve Ensler,1,"Playwright, activist"
Evelyn Glennie,1,Musician
Eythor Bender,1,Berkeley Bionics' CEO
Fei-Fei Li,1,Computer scientist
Felix Dennis,1,"Publisher, philanthropist, poet"
Fiorenzo Omenetto,1,Biomedical engineer
Frank Gehry,1,Architect
Frank Gehry,1,Architect
Frank Warren,1,Secret keeper
Frans Lanting,1,Nature photographer
Frans Lanting,1,Nature photographer
Franz Freudenthal,1,Pediatric cardiologist
Fred Jansen,1,Space explorer
Frederick Balagadde,1,Inventor
Freeman Dyson,1,Physicist
Freeman Hrabowski,1,Educator
Gabby Giffords and Mark Kelly,1,Former U.S. Representative and NASA astronaut; survivors
Gabriel Barcia-Colombo,1,Video sculptor
Garrett Lisi,1,Physicist
Garry Kasparov,1,"Grandmaster, analyst"
Gary Flake,1,Technologist
Gary Haugen,1,Human rights attorney
Gary Kovacs,1,
Gary Lauder's new traffic sign,1,Venture capitalist
Gavin Schmidt,1,Climate scientist
Geena Rocero,1,Model and activist
George Dyson,1,Historian of science
George Dyson,1,Historian of science
George Whitesides,1,Chemist
Gever Tulley,1,Tinkerer
Gever Tulley,1,Tinkerer
Golan Levin,1,Experimental audio-visual artist
Golan Levin,1,Experimental audio-visual artist
Grace Kim,1,Architect
Graham Hawkes,1,Inventor
Graham Hill,1,Journalist
Graham Hill,1,Journalist
Greg Gage,1,Neuroscientist
Greg Lynn,1,Designer
Gregory Petsko,1,Bioengineer
Gregory Stock,1,"Author, thinker"
Gustavo Dudamel and the Teresa Carreño Youth Orchestra,1,Ensemble
Haley Van Dyck,1,Disrupter
Handspring Puppet Co.,1,Puppeteers
Hans Rosling,1,Global health expert; data visionary
Hans Rosling,1,Global health expert; data visionary
Hans Rosling,1,Global health expert; data visionary
Harvey Fineberg,1,Health policy expert
Helen Fisher,1,"Anthropologist, expert on love"
Helen Fisher,1,"Anthropologist, expert on love"
Herbie Hancock,1,Jazz legend
Hillel Cooperman,1,"Entrepreneur, Lego enthusiast"
His Holiness Pope Francis,1,Bishop of Rome
Hod Lipson,1,Roboticist
Homaro Cantu + Ben Roche,2,Chef
Howard Rheingold,1,Digital community builder
Hugh Evans,1,Humanitarian
Hugh Herr,1,Bionics designer
Hyeonseo Lee,1,Activist
Improv Everywhere,1,Social energy entrepreneur
Ingrid Betancourt,1,"Writer, peace advocate"
Irwin Redlener,1,"Physician, disaster-preparedness activist"
Isaac Mizrahi,1,Fashion designer
Isabel Allende,1,Novelist
Isabel Allende,1,Novelist
Isabel Behncke,1,Primatologist
J.J. Abrams,1,Filmmaker
Jacek Utko,1,Newspaper designer
Jack Andraka,1,Cancer detector inventor
Jack Choi,1,Technologist
Jack Conte,1,"Musician, entrepreneur"
Jack Horner,1,Dinosaur digger
Jacqueline Novogratz,1,Investor and advocate for moral leadership
Jaime Lerner,1,City evangelist
Jakob Trollback,1,Designer
Jamais Cascio,1,World-builder
James Burchfield,1,Human beatbox
James Cameron,1,Director
James Flynn,1,Moral philosopher
James Hansen,1,Climatologist
James Howard Kunstler,1,Social critic
James Lyne,1,Cybersecurity specialist
James Nachtwey,1,Photojournalist
James Randi,1,Skeptic and conjuror
James Surowiecki,1,Finance journalist
James Watson,1,"Biologist, Nobel laureate"
Jamie Oliver,1,"Chef, activist"
Jan Chipchase,1,User anthropologist
